frame,matches,cx,cy,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y,kcx,kcy,ktl_x,ktl_y,ktr_x,ktr_y,kbl_x,kbl_y,kbr_x,kbr_y
30,155,308.0984,216.1383,373.65887,320.08963,240.80238,330.4448,371.75476,109.54156,238.45876,105.35812,309.06345,215.02838,377.1245,322.20984,242.01001,329.35208,372.94656,107.653,240.98883,107.47586
31,139,307.5847,216.16446,383.97955,337.91333,245.1879,326.24393,373.42166,101.6189,250.11667,124.27182,308.4245,215.24873,378.06787,325.36618,242.2022,328.8835,372.7153,106.48609,242.52042,110.70263
32,148,307.34998,217.10594,373.09744,323.32315,240.23262,334.3231,369.4532,110.16288,240.67323,109.03146,307.82507,215.63443,376.6987,325.23236,241.36171,330.10382,371.6986,107.17432,241.97086,110.497154
33,149,306.76712,218.38759,371.6533,325.14954,242.67775,335.17917,367.85788,108.608925,242.47536,112.251785,307.14606,216.26202,375.12277,325.4873,241.09613,331.42053,370.41968,107.49101,241.8385,110.97959
34,146,307.32156,218.58455,370.54797,324.14862,243.19023,336.37213,367.84793,108.960236,242.68103,110.29962,306.7868,216.83679,373.63962,325.43222,241.10876,332.7623,369.4152,107.83869,241.82625,110.965935
35,144,308.03903,218.7764,368.4937,320.9984,243.8386,339.29208,367.44278,108.79217,242.68808,107.90194,306.6163,217.40324,371.8361,324.7046,241.25972,334.62204,368.40567,108.121864,241.81651,110.43807
36,140,308.0329,218.83969,367.62637,321.7246,244.4059,339.3238,367.23065,108.27487,243.55487,107.14514,306.57324,217.8663,370.26013,324.17282,241.61855,336.1284,367.62976,108.23802,242.04044,109.787384
37,139,308.87357,218.11502,365.5483,323.4883,245.96942,338.34415,366.37628,109.70984,247.97752,104.510155,306.75403,218.09239,368.52896,324.0714,242.29266,337.17462,366.83362,108.63173,243.18132,108.66278
38,151,309.65714,217.79472,376.30078,339.43988,252.02005,332.87872,369.0427,100.79904,259.14688,125.27778,307.0005,218.2965,369.2524,327.41656,244.20694,336.96237,366.67188,107.07263,246.6268,112.110916
39,161,310.12677,217.60461,366.22348,323.5732,247.96129,339.5843,366.41397,108.66732,249.97694,103.59524,307.4771,218.30388,367.9654,326.9214,245.04025,338.03146,366.12854,107.3689,247.64923,110.508194
40,151,311.12674,217.22737,364.91858,320.78864,249.84567,340.18903,365.51837,109.58659,250.5465,100.2042,308.11993,218.23317,366.50757,325.8736,246.20418,339.1382,365.43527,107.83599,248.70325,108.32402
41,148,312.307,217.02368,363.9284,321.913,253.16399,335.9475,368.311,105.915825,255.76016,101.72899,308.97247,218.11107,365.00662,325.13474,248.01384,339.15344,365.46985,107.44405,250.81134,106.64544
42,140,313.07693,216.53102,361.25882,318.7537,251.75423,341.23428,365.5683,111.19443,257.67,98.56776,309.93777,217.86322,363.20285,323.71576,249.27913,340.2514,364.97968,108.2957,253.05917,104.43994
